"","사용일자","노선명","total"
"205",9,"5호선",1143303
"206",9,"6호선",602057
"207",9,"7호선",1312183
"208",9,"8호선",354632
"209",9,"9호선",506643
"210",9,"9호선2~3단계",169014
"211",9,"경강선",51850
"212",9,"경부선",781799
"213",9,"경원선",360900
"214",9,"경의선",199201
"215",9,"경인선",511716
"216",9,"경춘선",65439
"217",9,"공항철도 1호선",155442
"218",9,"과천선",181522
"219",9,"분당선",682842
"220",9,"수인선",74909
"221",9,"안산선",217072
"222",9,"우이신설선",79131
"223",9,"일산선",197034
"224",9,"장항선",22334
"225",9,"중앙선",165621
"226",10,"1호선",433657
"227",10,"2호선",2642277
"228",10,"3호선",973051
"229",10,"4호선",940679
"230",10,"5호선",1154502
"231",10,"6호선",611943
"232",10,"7호선",1315937
"233",10,"8호선",357391
"234",10,"9호선",516525
"235",10,"9호선2~3단계",171418
"236",10,"경강선",51380
"237",10,"경부선",781316
"238",10,"경원선",363930
"239",10,"경의선",196192
"240",10,"경인선",516379
"241",10,"경춘선",64537
"242",10,"공항철도 1호선",158001
"243",10,"과천선",183506
"244",10,"분당선",673060
"245",10,"수인선",75369
"246",10,"안산선",214146
"247",10,"우이신설선",79797
"248",10,"일산선",198690
"249",10,"장항선",19996
"250",10,"중앙선",167590
"251",11,"1호선",433871
"252",11,"2호선",2627443
"253",11,"3호선",973510
"254",11,"4호선",918403
"255",11,"5호선",1144855
"256",11,"6호선",603790
"257",11,"7호선",1310076
"258",11,"8호선",351193
"259",11,"9호선",508873
"260",11,"9호선2~3단계",168590
"261",11,"경강선",51093
"262",11,"경부선",785041
"263",11,"경원선",359960
"264",11,"경의선",198648
"265",11,"경인선",518095
"266",11,"경춘선",64557
"267",11,"공항철도 1호선",158304
"268",11,"과천선",179482
"269",11,"분당선",668150
"270",11,"수인선",75520
"271",11,"안산선",213496
"272",11,"우이신설선",79069
"273",11,"일산선",199916
"274",11,"장항선",21097
"275",11,"중앙선",165777
"276",12,"1호선",449673
"277",12,"2호선",2711212
"278",12,"3호선",1022067
"279",12,"4호선",965252
"280",12,"5호선",1160819
"281",12,"6호선",622208
"282",12,"7호선",1336878
"283",12,"8호선",360836
"284",12,"9호선",529989
"285",12,"9호선2~3단계",172623
"286",12,"경강선",54126
"287",12,"경부선",844044
"288",12,"경원선",379768
"289",12,"경의선",201687
"290",12,"경인선",535772
"291",12,"경춘선",70282
"292",12,"공항철도 1호선",166577
"293",12,"과천선",185344
"294",12,"분당선",702619
"295",12,"수인선",78116
"296",12,"안산선",224904
"297",12,"우이신설선",80576
"298",12,"일산선",205496
"299",12,"장항선",24004
"300",12,"중앙선",172749
"301",13,"1호선",289687
"302",13,"2호선",1700985
"303",13,"3호선",668826
"304",13,"4호선",640655
"305",13,"5호선",681611
"306",13,"6호선",402949
"307",13,"7호선",842029
"308",13,"8호선",232063
"309",13,"9호선",316963
"310",13,"9호선2~3단계",100967
"311",13,"경강선",37272
"312",13,"경부선",594973
"313",13,"경원선",295048
"314",13,"경의선",129210
"315",13,"경인선",383104
"316",13,"경춘선",55625
"317",13,"공항철도 1호선",105898
"318",13,"과천선",111994
"319",13,"분당선",450343
"320",13,"수인선",54886
"321",13,"안산선",164139
"322",13,"우이신설선",56967
"323",13,"일산선",139492
"324",13,"장항선",19194
"325",13,"중앙선",133685
"326",14,"1호선",200322
"327",14,"2호선",1138308
"328",14,"3호선",446718
"329",14,"4호선",440648
"330",14,"5호선",471986
"331",14,"6호선",291396
"332",14,"7호선",576079
"333",14,"8호선",165715
"334",14,"9호선",219590
"335",14,"9호선2~3단계",66586
"336",14,"경강선",28370
"337",14,"경부선",462229
"338",14,"경원선",224279
"339",14,"경의선",95178
"340",14,"경인선",271664
"341",14,"경춘선",45452
"342",14,"공항철도 1호선",86770
"343",14,"과천선",78463
"344",14,"분당선",314269
"345",14,"수인선",39967
"346",14,"안산선",120121
"347",14,"우이신설선",47972
"348",14,"일산선",99364
"349",14,"장항선",18734
"350",14,"중앙선",99866
"351",15,"1호선",432806
"352",15,"2호선",2606380
"353",15,"3호선",963731
"354",15,"4호선",927915
"355",15,"5호선",1141899
"356",15,"6호선",600795
"357",15,"7호선",1315100
"358",15,"8호선",351040
"359",15,"9호선",506884
"360",15,"9호선2~3단계",167359
"361",15,"경강선",52430
"362",15,"경부선",799737
"363",15,"경원선",368305
"364",15,"경의선",200401
"365",15,"경인선",529020
"366",15,"경춘선",67553
"367",15,"공항철도 1호선",157569
"368",15,"과천선",180264
"369",15,"분당선",667371
"370",15,"수인선",76402
"371",15,"안산선",220550
"372",15,"우이신설선",79758
"373",15,"일산선",202427
"374",15,"장항선",21765
"375",15,"중앙선",171872
"376",16,"1호선",434385
"377",16,"2호선",2650852
"378",16,"3호선",977256
"379",16,"4호선",944191
"380",16,"5호선",1156768
"381",16,"6호선",607675
"382",16,"7호선",1330894
"383",16,"8호선",353158
"384",16,"9호선",511051
"385",16,"9호선2~3단계",170428
"386",16,"경강선",51668
"387",16,"경부선",797573
"388",16,"경원선",368704
"389",16,"경의선",201677
"390",16,"경인선",526747
"391",16,"경춘선",67426
"392",16,"공항철도 1호선",158991
"393",16,"과천선",183163
"394",16,"분당선",675505
"395",16,"수인선",76956
"396",16,"안산선",221222
"397",16,"우이신설선",80131
"398",16,"일산선",202095
"399",16,"장항선",20914
"400",16,"중앙선",168304
"401",17,"1호선",435863
"402",17,"2호선",2675492
"403",17,"3호선",982539
"404",17,"4호선",949002
"405",17,"5호선",1169779
"406",17,"6호선",614159
"407",17,"7호선",1332997
"408",17,"8호선",358379
"409",17,"9호선",516277
"410",17,"9호선2~3단계",172527
"411",17,"경강선",51158
"412",17,"경부선",803790
"413",17,"경원선",369397
"414",17,"경의선",201361
"415",17,"경인선",531597
"416",17,"경춘선",68023
"417",17,"공항철도 1호선",160307
"418",17,"과천선",186344
"419",17,"분당선",683247
"420",17,"수인선",78012
"421",17,"안산선",222732
"422",17,"우이신설선",80046
"423",17,"일산선",205742
"424",17,"장항선",21024
"425",17,"중앙선",169888
"426",18,"1호선",438070
"427",18,"2호선",2669513
"428",18,"3호선",982418
"429",18,"4호선",948565
"430",18,"5호선",1157490
"431",18,"6호선",610679
"432",18,"7호선",1320805
"433",18,"8호선",355265
"434",18,"9호선",513784
"435",18,"9호선2~3단계",170404
"436",18,"경강선",51556
