127.0.0.1 - - [13/Oct/2020:14:27:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:27:24 +0900] "GET /controller/ HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:27:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:27:32 +0900] "GET /controller/ver HTTP/1.1" 500 6553
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:28:05 +0900] "GET /controller/ HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:28:06 +0900] "GET /controller/ver HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:28:08 +0900] "GET /controller/reqPage HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:28:12 +0900] "GET /controller/graph HTTP/1.1" 500 3620
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:30:24 +0900] "GET /controller/graph HTTP/1.1" 500 3620
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:30:52 +0900] "GET /controller/graph HTTP/1.1" 500 3620
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:32:50 +0900] "GET /controller/ver HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:32:54 +0900] "GET /controller/ver HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:32:55 +0900] "GET /controller/graph HTTP/1.1" 500 3620
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:33:57 +0900] "GET /controller/ver HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:34:00 +0900] "GET /controller/graph HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:34:01 +0900] "GET /viz/linechart.html HTTP/1.1" 200 3522078
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:34:15 +0900] "GET /controller/textMining HTTP/1.1" 500 3625
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:36:10 +0900] "GET /controller/graph HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:36:10 +0900] "GET /viz/linechart.html HTTP/1.1" 200 3522081
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:36:12 +0900] "GET /controller/textMining HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:36:12 +0900] "GET /viz/wordcloud.html HTTP/1.1" 200 11757
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:36:12 +0900] "GET /viz/lib/wordcloud2-0.0.1/wordcloud2-all.js HTTP/1.1" 200 35491
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:36:12 +0900] "GET /viz/lib/htmlwidgets-1.5.2/htmlwidgets.js HTTP/1.1" 200 33194
0:0:0:0:0:0:0:1 - - [13/Oct/2020:14:36:12 +0900] "GET /viz/lib/wordcloud2-0.0.1/wordcloud.css HTTP/1.1" 200 386
